TransactionID,TransactionDate,Amount,BankNameSent,BankNameReceived,RemainingBalance,City,Gender,TransactionType,Status,TransactionTime,DeviceType,PaymentMethod,MerchantName,Purpose,CustomerAge,PaymentMode,Currency,CustomerAccountNumber,MerchantAccountNumber
TXN00052,23-05-2024,1099.5,HDFC Bank,ICICI Bank,1999.3,Mumbai,Male,Payment,Success,12:36.0,Tablet,Phone Number,Zomato,Travel,32,Instant,INR,1.23457E+11,9.87654E+11
TXN00053,24-06-2024,1497.71,SBI Bank,HDFC Bank,5833.67,Delhi,Female,Transfer,Success,56:35.0,Laptop,QR Code,Swiggy,Bill Payment,33,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00054,25-07-2024,1167.44,ICICI Bank,SBI Bank,8241.59,Bangalore,Male,Payment,Success,36:45.0,Mobile,UPI ID,IRCTC,Others,34,Instant,EUR,1.23457E+11,9.87654E+11
TXN00055,26-08-2024,61.73,Axis Bank,Axis Bank,7989.63,Hyderabad,Female,Transfer,Failed,59:33.0,Tablet,Phone Number,Flipkart,Shopping,35,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00056,27-09-2024,591.43,HDFC Bank,ICICI Bank,9710.39,Mumbai,Male,Payment,Success,21:14.0,Laptop,QR Code,Amazon,Food,36,Instant,INR,1.23457E+11,9.87654E+11
TXN00057,28-10-2024,877.29,SBI Bank,HDFC Bank,8504.05,Delhi,Female,Transfer,Success,30:44.0,Mobile,UPI ID,Zomato,Travel,37,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00058,29-11-2024,1050.05,ICICI Bank,SBI Bank,5758.47,Bangalore,Male,Payment,Success,35:41.0,Tablet,Phone Number,Swiggy,Bill Payment,38,Instant,EUR,1.23457E+11,9.87654E+11
TXN00059,30-12-2024,1753.84,Axis Bank,Axis Bank,6949.3,Hyderabad,Female,Transfer,Success,13:14.0,Laptop,QR Code,IRCTC,Others,39,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00060,01-01-2024,1016.95,HDFC Bank,ICICI Bank,3601.68,Mumbai,Male,Payment,Failed,48:43.0,Mobile,UPI ID,Flipkart,Shopping,40,Instant,INR,1.23457E+11,9.87654E+11
TXN00061,02-02-2024,95.74,SBI Bank,HDFC Bank,4541.38,Delhi,Female,Transfer,Success,56:15.0,Tablet,Phone Number,Amazon,Food,41,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00062,03-03-2024,582.7,ICICI Bank,SBI Bank,6027.89,Bangalore,Male,Payment,Success,14:03.0,Laptop,QR Code,Zomato,Travel,42,Instant,EUR,1.23457E+11,9.87654E+11
TXN00063,04-04-2024,264.61,Axis Bank,Axis Bank,3004.97,Hyderabad,Female,Transfer,Success,33:32.0,Mobile,UPI ID,Swiggy,Bill Payment,43,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00064,05-05-2024,1516.94,HDFC Bank,ICICI Bank,6343.03,Mumbai,Male,Payment,Success,40:23.0,Tablet,Phone Number,IRCTC,Others,44,Instant,INR,1.23457E+11,9.87654E+11
TXN00065,06-06-2024,847.75,SBI Bank,HDFC Bank,830.75,Delhi,Female,Transfer,Failed,12:31.0,Laptop,QR Code,Flipkart,Shopping,45,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00066,07-07-2024,1053.87,ICICI Bank,SBI Bank,990.96,Bangalore,Male,Payment,Success,34:54.0,Mobile,UPI ID,Amazon,Food,46,Instant,EUR,1.23457E+11,9.87654E+11
TXN00067,08-08-2024,649.72,Axis Bank,Axis Bank,5152.44,Hyderabad,Female,Transfer,Success,45:50.0,Tablet,Phone Number,Zomato,Travel,47,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00068,09-09-2024,1401.99,HDFC Bank,ICICI Bank,3257.98,Mumbai,Male,Payment,Success,49:20.0,Laptop,QR Code,Swiggy,Bill Payment,48,Instant,INR,1.23457E+11,9.87654E+11
TXN00069,10-10-2024,683.59,SBI Bank,HDFC Bank,7152.35,Delhi,Female,Transfer,Success,34:54.0,Mobile,UPI ID,IRCTC,Others,49,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00070,11-11-2024,240.1,ICICI Bank,SBI Bank,1035.24,Bangalore,Male,Payment,Failed,33:50.0,Tablet,Phone Number,Flipkart,Shopping,50,Instant,EUR,1.23457E+11,9.87654E+11
TXN00071,12-12-2024,1663.2,Axis Bank,Axis Bank,4462.8,Hyderabad,Female,Transfer,Success,28:37.0,Laptop,QR Code,Amazon,Food,51,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00072,13-01-2024,376.61,HDFC Bank,ICICI Bank,2240.34,Mumbai,Male,Payment,Success,42:08.0,Mobile,UPI ID,Zomato,Travel,52,Instant,INR,1.23457E+11,9.87654E+11
TXN00073,14-02-2024,1590.69,SBI Bank,HDFC Bank,3131.34,Delhi,Female,Transfer,Success,05:45.0,Tablet,Phone Number,Swiggy,Bill Payment,53,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00074,15-03-2024,623.18,ICICI Bank,SBI Bank,1283.94,Bangalore,Male,Payment,Success,22:53.0,Laptop,QR Code,IRCTC,Others,54,Instant,EUR,1.23457E+11,9.87654E+11
TXN00075,16-04-2024,1645.02,Axis Bank,Axis Bank,4590.19,Hyderabad,Female,Transfer,Failed,36:24.0,Mobile,UPI ID,Flipkart,Shopping,55,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00076,17-05-2024,4.5,HDFC Bank,ICICI Bank,4922.13,Mumbai,Male,Payment,Success,09:09.0,Tablet,Phone Number,Amazon,Food,56,Instant,INR,1.23457E+11,9.87654E+11
TXN00077,18-06-2024,1036.23,SBI Bank,HDFC Bank,6073.74,Delhi,Female,Transfer,Success,32:50.0,Laptop,QR Code,Zomato,Travel,57,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00078,19-07-2024,1985.46,ICICI Bank,SBI Bank,2735.63,Bangalore,Male,Payment,Success,09:39.0,Mobile,UPI ID,Swiggy,Bill Payment,58,Instant,EUR,1.23457E+11,9.87654E+11
TXN00079,20-08-2024,486.67,Axis Bank,Axis Bank,5811.54,Hyderabad,Female,Transfer,Success,23:43.0,Tablet,Phone Number,IRCTC,Others,59,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00080,21-09-2024,108.65,HDFC Bank,ICICI Bank,2015.36,Mumbai,Male,Payment,Failed,39:44.0,Laptop,QR Code,Flipkart,Shopping,20,Instant,INR,1.23457E+11,9.87654E+11
TXN00081,22-10-2024,940.24,SBI Bank,HDFC Bank,2034.02,Delhi,Female,Transfer,Success,14:40.0,Mobile,UPI ID,Amazon,Food,21,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00082,23-11-2024,1705.75,ICICI Bank,SBI Bank,4862.73,Bangalore,Male,Payment,Success,32:23.0,Tablet,Phone Number,Zomato,Travel,22,Instant,EUR,1.23457E+11,9.87654E+11
TXN00083,24-12-2024,430.18,Axis Bank,Axis Bank,6185.61,Hyderabad,Female,Transfer,Success,42:28.0,Laptop,QR Code,Swiggy,Bill Payment,23,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00084,25-01-2024,818.34,HDFC Bank,ICICI Bank,9508.18,Mumbai,Male,Payment,Success,19:05.0,Mobile,UPI ID,IRCTC,Others,24,Instant,INR,1.23457E+11,9.87654E+11
TXN00085,26-02-2024,725.38,SBI Bank,HDFC Bank,1805.99,Delhi,Female,Transfer,Failed,12:21.0,Tablet,Phone Number,Flipkart,Shopping,25,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00086,27-03-2024,1323.91,ICICI Bank,SBI Bank,123.08,Bangalore,Male,Payment,Success,45:28.0,Laptop,QR Code,Amazon,Food,26,Instant,EUR,1.23457E+11,9.87654E+11
TXN00087,28-04-2024,1527.19,Axis Bank,Axis Bank,4829.75,Hyderabad,Female,Transfer,Success,56:52.0,Mobile,UPI ID,Zomato,Travel,27,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00088,29-05-2024,99.33,HDFC Bank,ICICI Bank,9860.5,Mumbai,Male,Payment,Success,12:05.0,Tablet,Phone Number,Swiggy,Bill Payment,28,Instant,INR,1.23457E+11,9.87654E+11
TXN00089,30-06-2024,1835.44,SBI Bank,HDFC Bank,6827.44,Delhi,Female,Transfer,Success,20:38.0,Laptop,QR Code,IRCTC,Others,29,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00090,01-07-2024,1803.64,ICICI Bank,SBI Bank,1155.54,Bangalore,Male,Payment,Failed,17:11.0,Mobile,UPI ID,Flipkart,Shopping,30,Instant,EUR,1.23457E+11,9.87654E+11
TXN00091,02-08-2024,506.51,Axis Bank,Axis Bank,6543.26,Hyderabad,Female,Transfer,Success,10:58.0,Tablet,Phone Number,Amazon,Food,31,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00092,03-09-2024,8.34,HDFC Bank,ICICI Bank,8714.16,Mumbai,Male,Payment,Success,35:43.0,Laptop,QR Code,Zomato,Travel,32,Instant,INR,1.23457E+11,9.87654E+11
TXN00093,04-10-2024,1035.36,SBI Bank,HDFC Bank,1900.92,Delhi,Female,Transfer,Success,00:59.0,Mobile,UPI ID,Swiggy,Bill Payment,33,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00094,05-11-2024,236.42,ICICI Bank,SBI Bank,7011.43,Bangalore,Male,Payment,Success,28:10.0,Tablet,Phone Number,IRCTC,Others,34,Instant,EUR,1.23457E+11,9.87654E+11
TXN00095,06-12-2024,1497.97,Axis Bank,Axis Bank,690.82,Hyderabad,Female,Transfer,Failed,26:21.0,Laptop,QR Code,Flipkart,Shopping,35,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00096,07-01-2024,1997.89,HDFC Bank,ICICI Bank,8527.06,Mumbai,Male,Payment,Success,18:44.0,Mobile,UPI ID,Amazon,Food,36,Instant,INR,1.23457E+11,9.87654E+11
TXN00097,08-02-2024,1476.86,SBI Bank,HDFC Bank,4376.29,Delhi,Female,Transfer,Success,01:22.0,Tablet,Phone Number,Zomato,Travel,37,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00098,09-03-2024,306.34,ICICI Bank,SBI Bank,8601.03,Bangalore,Male,Payment,Success,31:06.0,Laptop,QR Code,Swiggy,Bill Payment,38,Instant,EUR,1.23457E+11,9.87654E+11
TXN00099,10-04-2024,1320.31,Axis Bank,Axis Bank,7248.94,Hyderabad,Female,Transfer,Success,14:09.0,Mobile,UPI ID,IRCTC,Others,39,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00100,11-05-2024,572.7,HDFC Bank,ICICI Bank,7757.98,Mumbai,Male,Payment,Failed,25:15.0,Tablet,Phone Number,Flipkart,Shopping,40,Instant,INR,1.23457E+11,9.87654E+11
TXN00101,12-06-2024,634.99,SBI Bank,HDFC Bank,5643.04,Delhi,Female,Transfer,Success,20:44.0,Laptop,QR Code,Amazon,Food,41,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00102,13-07-2024,1587.27,ICICI Bank,SBI Bank,4279.26,Bangalore,Male,Payment,Success,39:06.0,Mobile,UPI ID,Zomato,Travel,42,Instant,EUR,1.23457E+11,9.87654E+11
TXN00103,14-08-2024,16.24,Axis Bank,Axis Bank,9723.93,Hyderabad,Female,Transfer,Success,29:05.0,Tablet,Phone Number,Swiggy,Bill Payment,43,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00104,15-09-2024,409.39,HDFC Bank,ICICI Bank,4378.32,Mumbai,Male,Payment,Success,22:44.0,Laptop,QR Code,IRCTC,Others,44,Instant,INR,1.23457E+11,9.87654E+11
TXN00105,16-10-2024,426.54,SBI Bank,HDFC Bank,4675.2,Delhi,Female,Transfer,Failed,03:41.0,Mobile,UPI ID,Flipkart,Shopping,45,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00106,17-11-2024,1730.93,ICICI Bank,SBI Bank,3982.56,Bangalore,Male,Payment,Success,02:42.0,Tablet,Phone Number,Amazon,Food,46,Instant,EUR,1.23457E+11,9.87654E+11
TXN00107,18-12-2024,1309.25,Axis Bank,Axis Bank,8894.49,Hyderabad,Female,Transfer,Success,29:54.0,Laptop,QR Code,Zomato,Travel,47,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00108,19-01-2024,11.92,HDFC Bank,ICICI Bank,6758.73,Mumbai,Male,Payment,Success,49:33.0,Mobile,UPI ID,Swiggy,Bill Payment,48,Instant,INR,1.23457E+11,9.87654E+11
TXN00109,20-02-2024,1701.26,SBI Bank,HDFC Bank,8210.37,Delhi,Female,Transfer,Success,55:25.0,Tablet,Phone Number,IRCTC,Others,49,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00110,21-03-2024,250.05,ICICI Bank,SBI Bank,582.17,Bangalore,Male,Payment,Failed,44:09.0,Laptop,QR Code,Flipkart,Shopping,50,Instant,EUR,1.23457E+11,9.87654E+11
TXN00111,22-04-2024,1349.63,Axis Bank,Axis Bank,8686.87,Hyderabad,Female,Transfer,Success,35:29.0,Mobile,UPI ID,Amazon,Food,51,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00112,23-05-2024,949.34,HDFC Bank,ICICI Bank,8940.52,Mumbai,Male,Payment,Success,36:16.0,Tablet,Phone Number,Zomato,Travel,52,Instant,INR,1.23457E+11,9.87654E+11
TXN00113,24-06-2024,944.05,SBI Bank,HDFC Bank,3542.09,Delhi,Female,Transfer,Success,15:35.0,Laptop,QR Code,Swiggy,Bill Payment,53,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00114,25-07-2024,1789.18,ICICI Bank,SBI Bank,3686.62,Bangalore,Male,Payment,Success,19:51.0,Mobile,UPI ID,IRCTC,Others,54,Instant,EUR,1.23457E+11,9.87654E+11
TXN00115,26-08-2024,1736.67,Axis Bank,Axis Bank,4454.47,Hyderabad,Female,Transfer,Failed,08:08.0,Tablet,Phone Number,Flipkart,Shopping,55,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00116,27-09-2024,1144.97,HDFC Bank,ICICI Bank,2116.14,Mumbai,Male,Payment,Success,26:07.0,Laptop,QR Code,Amazon,Food,56,Instant,INR,1.23457E+11,9.87654E+11
TXN00117,28-10-2024,944.14,SBI Bank,HDFC Bank,9676.41,Delhi,Female,Transfer,Success,55:08.0,Mobile,UPI ID,Zomato,Travel,57,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00118,29-11-2024,463.45,ICICI Bank,SBI Bank,1543.94,Bangalore,Male,Payment,Success,54:48.0,Tablet,Phone Number,Swiggy,Bill Payment,58,Instant,EUR,1.23457E+11,9.87654E+11
TXN00119,30-12-2024,326.43,Axis Bank,Axis Bank,7300.24,Hyderabad,Female,Transfer,Success,57:52.0,Laptop,QR Code,IRCTC,Others,59,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00120,01-01-2024,240.72,HDFC Bank,ICICI Bank,6520.62,Mumbai,Male,Payment,Failed,41:06.0,Mobile,UPI ID,Flipkart,Shopping,20,Instant,INR,1.23457E+11,9.87654E+11
TXN00121,02-02-2024,1853.27,SBI Bank,HDFC Bank,713.51,Delhi,Female,Transfer,Success,57:00.0,Tablet,Phone Number,Amazon,Food,21,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00122,03-03-2024,526.87,ICICI Bank,SBI Bank,6155.73,Bangalore,Male,Payment,Success,06:14.0,Laptop,QR Code,Zomato,Travel,22,Instant,EUR,1.23457E+11,9.87654E+11
TXN00123,04-04-2024,925.88,Axis Bank,Axis Bank,151.9,Hyderabad,Female,Transfer,Success,25:41.0,Mobile,UPI ID,Swiggy,Bill Payment,23,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00124,05-05-2024,453.54,HDFC Bank,ICICI Bank,3380.72,Mumbai,Male,Payment,Success,31:55.0,Tablet,Phone Number,IRCTC,Others,24,Instant,INR,1.23457E+11,9.87654E+11
TXN00125,06-06-2024,1535.09,SBI Bank,HDFC Bank,5371.61,Delhi,Female,Transfer,Failed,47:28.0,Laptop,QR Code,Flipkart,Shopping,25,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00126,07-07-2024,787.96,ICICI Bank,SBI Bank,5108.25,Bangalore,Male,Payment,Success,01:38.0,Mobile,UPI ID,Amazon,Food,26,Instant,EUR,1.23457E+11,9.87654E+11
TXN00127,08-08-2024,1831.44,Axis Bank,Axis Bank,9543.16,Hyderabad,Female,Transfer,Success,24:19.0,Tablet,Phone Number,Zomato,Travel,27,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00128,09-09-2024,11.56,HDFC Bank,ICICI Bank,5605.45,Mumbai,Male,Payment,Success,05:41.0,Laptop,QR Code,Swiggy,Bill Payment,28,Instant,INR,1.23457E+11,9.87654E+11
